track_id	race_date	race_number	program_number	trakus_index	latitude	longitude	distance_id	course_type	track_condition	run_up_distance	race_type	post_time	weight_carried	jockey	odds	position_at_finish	
AQU	1/1/2019	9	6	72	40.67290172	-73.8276066	600	D	GD 	48	CLM	25000	420	120	Andre Shivnarine Worrie	2090	8
AQU	19/4/2019	7	2	1	40.669548	-73.82964061	600	O	FM 	58	CLM	62000	442	120	Manuel Franco	335	2
BEL	25/5/2019	10	9	1	40.71590249	-73.72011786	600	I	FM 	90	AOC	85000	624	121	Dylan Davis	2525	2
BEL	9/6/2019	6	6	1	40.71568352	-73.71963203	600	I	FM 	112	CLM	60000	412	123	Manuel Franco	1300	8
SAR	27/7/2019	3	6	1	43.06986266	-73.76967241	550	T	GD 	74	CLM	52000	210	122	Irad Ortiz Jr.	1210	10
AQU	10/2/2019	4	3	1	40.67108172	-73.82839529	550	D	FT 	51	ALW	64000	228	121	Samuel Jimenez	3225	5
AQU	5/4/2019	6	9	8	40.6717151	-73.83169063	800	O	FM 	64	CLM	44000	410	117	Joey R. Martinez	5725	7
AQU	9/11/2019	3	11	1	40.67263555	-73.83130507	850	O	FM 	35	CLM	38000	1255	114	Joey R. Martinez	2120	2
AQU	12/12/2019	2	5	318	40.67353908	-73.83103481	800	D	GD 	54	CLM	28000	1259	123	Joey R. Martinez	1710	7
BEL	24/5/2019	4	4	177	40.71732619	-73.7246856	850	T	FM 	130	CLM	42000	308	117	Joey R. Martinez	1780	4
BEL	2/6/2019	8	11	27	40.71408777	-73.71740897	850	T	FM 	170	CLM	39000	519	117	Joey R. Martinez	2675	2
SAR	4/8/2019	6	10	1	43.06955701	-73.7698452	600	D	FT 	48	CLM	52000	406	124	Rajiv Maragh	3425	11
AQU	19/1/2019	8	4	1	40.67201495	-73.83181307	900	D	FT 	99	AOC	64000	400	120	Reylu Gutierrez	460	5
AQU	2/3/2019	9	1	1	40.66683613	-73.83039486	800	D	FT 	54	CLM	25000	522	125	Rajiv Maragh	1200	5
AQU	20/12/2019	5	3	1	40.66680475	-73.83034835	800	D	FT 	54	CLM	46000	229	122	Dylan Davis	1090	2
BEL	23/10/2019	3	7	108	40.71685876	-73.72177828	850	D	MY 	48	CLM	32000	223	122	Dylan Davis	295	1
SAR	30/8/2019	2	2	395	43.07232121	-73.77069586	900	D	FT 	78	CLM	34000	134	123	Jose L. Ortiz	330	3
AQU	13/12/2019	2	6	1	40.66679182	-73.83034299	800	D	GD 	54	CLM	22000	1259	125	Silvestre Gonzalez	1090	7
BEL	14/6/2019	4	6	31	40.71338907	-73.71830489	850	I	GD 	54	CLM	50000	308	126	Irad Ortiz Jr.	90	1
BEL	26/6/2019	3	2	1	40.71263709	-73.71925961	850	I	FM 	84	CLM	60000	238	126	Junior Alvarado	460	2
